person,province,party,age,age_range,gender
BROESE PHETHELO PENI,EASTERN CAPE,A PARTY,37,less than 39,Male
FULUFHEDZANI MERCY MAKHALE,FREE STATE,A PARTY,46,39 - 59,Female
TUMELO MOTHEO KEKANA,GAUTENG,A PARTY,23,less than 39,Male
YOLANDA MAGDA CARTER,GAUTENG,A PARTY,28,less than 39,Female
MADZUHE ITANI GIDEON MAGORO,GAUTENG,A PARTY,53,39 - 59,Male
MARY MULALO DZHALAGOME,MPUMALANGA,A PARTY,69,60 - 79,Female
MPHEDZISENI RAMALA,MPUMALANGA,A PARTY,32,less than 39,Male
LIVHUWANI MATHEPHE,MPUMALANGA,A PARTY,33,less than 39,Female
TONDANI REGINAH MAFADZA,LIMPOPO,A PARTY,40,39 - 59,Female
THINGAAMBI HUMPHREY RATSHILUMELA,LIMPOPO,A PARTY,30,less than 39,Male
NKHANGWELENI KINGSLEY SIKHWIVHILU,LIMPOPO,A PARTY,42,39 - 59,Male
SHANDUKANI ZACHARIA NEMALILI,LIMPOPO,A PARTY,40,39 - 59,Male
MAKHADO MASITHI,LIMPOPO,A PARTY,39,39 - 59,Male
AZWINNDINI ANNAH TSHABUSE,LIMPOPO,A PARTY,49,39 - 59,Female
NONDUMISO KEMPELE,WESTERN CAPE,A PARTY,34,less than 39,Female
LUMUMBA NGAMNTWINI,WESTERN CAPE,A PARTY,39,39 - 59,Male
HILDA NOMSA DEDISO,WESTERN CAPE,A PARTY,38,less than 39,Female
MAWETHU PAURITIUS HODINI,WESTERN CAPE,A PARTY,34,less than 39,Male
CYNTHIA NTOMBIZANDILE ZOLA,WESTERN CAPE,A PARTY,37,less than 39,Female
CHARLES SONWABO DIDI,WESTERN CAPE,A PARTY,31,less than 39,Male
ANDILE MAMKELI QOBO,WESTERN CAPE,A PARTY,31,less than 39,Male
ZITHULELE NGESI,WESTERN CAPE,A PARTY,32,less than 39,Male
NOBUHLE THISANI,WESTERN CAPE,A PARTY,37,less than 39,Female
ZANELE DORAH FIGLAN,WESTERN CAPE,A PARTY,49,39 - 59,Female
JONGILANGA KENTE,WESTERN CAPE,A PARTY,47,39 - 59,Male
LUKE MONWABISI QUSE,EASTERN CAPE,AFRICAN CHRISTIAN DEMOCRATIC PARTY,46,39 - 59,Male
LITHA MASIVAKALE NCOKAZI,EASTERN CAPE,AFRICAN CHRISTIAN DEMOCRATIC PARTY,25,less than 39,Male
HENDRIK JACOBUS MARTHINUS MULLER,FREE STATE,AFRICAN CHRISTIAN DEMOCRATIC PARTY,55,39 - 59,Male
KHWAILE RUFUS MALATJI,GAUTENG,AFRICAN CHRISTIAN DEMOCRATIC PARTY,51,39 - 59,Male
MPHO PHANUEL MAMARIGANE,GAUTENG,AFRICAN CHRISTIAN DEMOCRATIC PARTY,53,39 - 59,Male
NICHOLAS COMBRING FISHER,GAUTENG,AFRICAN CHRISTIAN DEMOCRATIC PARTY,64,60 - 79,Male
SIMON SIBUSISO BADANILE NZIMANDE,GAUTENG,AFRICAN CHRISTIAN DEMOCRATIC PARTY,30,less than 39,Male
WAYNE MAXIM THRING,KWAZULU-NATAL,AFRICAN CHRISTIAN DEMOCRATIC PARTY,46,39 - 59,Male
ROSEMARY SIMEON,KWAZULU-NATAL,AFRICAN CHRISTIAN DEMOCRATIC PARTY,44,39 - 59,Female
CELUKWANDA ELVIS MPANZA,KWAZULU-NATAL,AFRICAN CHRISTIAN DEMOCRATIC PARTY,39,39 - 59,Male
SIBONGILE JEANETTE MATHEBULA,MPUMALANGA,AFRICAN CHRISTIAN DEMOCRATIC PARTY,35,less than 39,Female
MARCIA SARAH MNISI,MPUMALANGA,AFRICAN CHRISTIAN DEMOCRATIC PARTY,35,less than 39,Female
EDWARD PESULO,LIMPOPO,AFRICAN CHRISTIAN DEMOCRATIC PARTY,39,39 - 59,Male
MOYAHABO KIM MOTHIBE,LIMPOPO,AFRICAN CHRISTIAN DEMOCRATIC PARTY,27,less than 39,Female
MAGRIETA MAGDALENA BRIEL,NORTH WEST,AFRICAN CHRISTIAN DEMOCRATIC PARTY,38,less than 39,Female
HENDRY BENJAMIN CUPIDO,WESTERN CAPE,AFRICAN CHRISTIAN DEMOCRATIC PARTY,55,39 - 59,Male
CATHERINE TERSIA JEANETTE SIMMERS,WESTERN CAPE,AFRICAN CHRISTIAN DEMOCRATIC PARTY,60,60 - 79,Female
GUGILE ERNEST NKWINTI,EASTERN CAPE,AFRICAN NATIONAL CONGRESS,61,60 - 79,Male
NKOSINATHI BENSON FIHLA,EASTERN CAPE,AFRICAN NATIONAL CONGRESS,77,60 - 79,Male
KGOMOTSO RUTH MAGAU,FREE STATE,AFRICAN NATIONAL CONGRESS,42,39 - 59,Female
KOPENG OBED BAPELA,GAUTENG,AFRICAN NATIONAL CONGRESS,51,39 - 59,Male
MUNTU DOREEN NXUMALO,GAUTENG,AFRICAN NATIONAL CONGRESS,60,60 - 79,Female
GERHARDUS WILLEM KOORNHOF,GAUTENG,AFRICAN NATIONAL CONGRESS,57,39 - 59,Male
FARIDA MAHOMED,GAUTENG,AFRICAN NATIONAL CONGRESS,54,39 - 59,Female
ZEPHROMA SIZANI DUBAZANA,KWAZULU-NATAL,AFRICAN NATIONAL CONGRESS,55,39 - 59,Female
ZWELIFILE CHRISTOPHER NTULI,KWAZULU-NATAL,AFRICAN NATIONAL CONGRESS,55,39 - 59,Male
NOKUTHULA BONIFACIA MNGADI,KWAZULU-NATAL,AFRICAN NATIONAL CONGRESS,37,less than 39,Female
JAMES JIM SKOSANA,MPUMALANGA,AFRICAN NATIONAL CONGRESS,47,39 - 59,Male
VUSELELO VINCENT MAGAGULA,MPUMALANGA,AFRICAN NATIONAL CONGRESS,36,less than 39,Male
TINA MONICA JOEMAT-PETTERSSON,NORTHERN CAPE,AFRICAN NATIONAL CONGRESS,46,39 - 59,Female
MANANA CATHERINE MABUZA,LIMPOPO,AFRICAN NATIONAL CONGRESS,64,60 - 79,Female
DIVILI WILSON MAVUNDA,LIMPOPO,AFRICAN NATIONAL CONGRESS,52,39 - 59,Male
MOLEFI SEFULARO,NORTH WEST,AFRICAN NATIONAL CONGRESS,52,39 - 59,Male
NOMTHETHO DINAH RAMORWESI,NORTH WEST,AFRICAN NATIONAL CONGRESS,39,39 - 59,Female
XOLISWA CAROLINE MAKASI,WESTERN CAPE,AFRICAN NATIONAL CONGRESS,53,39 - 59,Female
JACOBUS JOHANNES BRYNARD,WESTERN CAPE,AFRICAN NATIONAL CONGRESS,62,60 - 79,Male
PHUMZILE HUBERT SONGO,EASTERN CAPE,AFRICAN PEOPLE'S CONVENTION,38,less than 39,Male
SESOMO SAMUEL SEAKHELA,FREE STATE,AFRICAN PEOPLE'S CONVENTION,64,60 - 79,Male
ANDREW MODUKANELE BERRIS MODISE,FREE STATE,AFRICAN PEOPLE'S CONVENTION,50,39 - 59,Male
MOHANOE JOHN MOKOENA,FREE STATE,AFRICAN PEOPLE'S CONVENTION,33,less than 39,Male
RAMAHLALERWA DOUGLAS MATHUME,GAUTENG,AFRICAN PEOPLE'S CONVENTION,42,39 - 59,Male
VATHISWA MARTINS,GAUTENG,AFRICAN PEOPLE'S CONVENTION,47,39 - 59,Female
